"x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","BERGHOLTZZELL","1","0","2","0","3","1","0","0","4","0","4","1","1","0","1","2","2","2","0","1","1","2","1","5","0","0","0","0","1","0","2","0","3","0","5","0","0","0","1","1","1","2","0","1","3","0","5","1","1","0","1","0","2","1","3","0","3","0","6","0","0","1","0","0","0","1","1","0","1","1","3","2"
"45","BERGHOLTZ ZELL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"46","BERNARDSWILLER","0","0","1","2","1","4","0","0","4","2","4","2","0","0","4","1","4","1","0","0","1","1","1","4","0","0","2","0","3","0","0","1","1","1","1","4","1","1","2","2","4","4","0","0","1","3","1","3","0","1","3","0","3","1","1","1","5","3","6","4","0","0","3","0","3","3","1","0","0","3","1","3"
"47","BERNOLSHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","BERNWILLER","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","1","0","1","0","0","0","1","0","1"
"49","BERRWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","2","0","2","0","0","0","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0"
"50","BERSTETT","0","1","7","7","10","9","0","1","9","4","14","9","0","1","9","4","15","9","2","2","7","7","13","11","1","0","12","3","16","3","1","0","10","3","19","5","2","0","12","7","17","7","0","2","9","9","12","12","0","0","10","4","15","7","0","2","5","7","11","10","0","1","9","9","11","13","2","1","11","5","15","9"
"51","BERSTHEIM","2","0","1","1","4","1","0","0","4","0","4","0","0","0","2","2","2","3","0","1","1","1","2","2","1","0","4","1","5","1","0","0","2","2","2","2","2","0","2","1","5","1","1","0","0","1","1","1","1","0","0","1","1","1","0","2","3","1","3","3","4","1","0","0","4","1","0","0","1","0","1","0"
"52","BETSCHDORF","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","2","0","4","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1"
"53","BIESHEIM","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"54","BILTZHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"55","BINDERNHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"56","BISCHHEIM","2","1","1","0","4","2","3","0","1","3","4","3","1","0","6","3","8","3","0","4","2","1","3","6","1","1","3","0","5","1","2","0","3","6","6","7","3","1","2","2","5","7","1","0","1","2","4","2","1","1","6","3","7","4","0","0","1","3","2","4","0","0","4","2","5","7","1","1","1","1","3","3"
"57","BISCHWIHR","1","0","2","3","3","3","0","0","0","1","1","1","0","0","1","2","2","2","3","0","5","0","8","0","1","0","1","2","2","2","0","1","1","2","1","3","0","0","3","1","5","1","1","0","4","3","5","3","0","0","4","0","5","0","0","0","0","3","1","3","0","0","1","0","1","0","0","0","1","2","1","2"
"58","BISCHWILLER","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","2","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","2","1","2","1","0","0","2","0","2","0","0","0","0","2","0","2","0","0","2","1","2","1","0","0","3","1","3","1","1","0","2","0","3","1"
"59","BITSCHHOFFEN","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","2","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","2","0"
"60","BITSCHWILLER LES THANN","0","0","0","2","0","2","0","0","1","1","2","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","3","0","3","0","0","0","1","1","1","2","1","0","0","2","2","2","0","0","1","0","2","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","2","1","2","2"
"61","BLAESHEIM","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"62","BLIENSCHWILLER","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","1","0","0","1","3","1","3","0","0","0","0","0","0","1","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
"63","BLODELSHEIM","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","2","0","2","0","0","0","0","1","0","1","0","0","2","2","3","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","1","0","1","0"
"64","BLOTZHEIM","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","1","2","2","1","1","3","1","4","2","0","0","2","4","2","4","1","0","6","2","7","2","0","0","1","2","2","2","0","0","4","1","5","1","0","0","3","0","4","0","0","0","0","1","0","1","1","0","2","4","3","4","0","1","1","1","1","2"
"65","BOESENBIESEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","1","2","1","3","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","0","1","0"
"66","BOLLWILLER","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","0","4","2","0","0","0","0","1","0","1","0","0","0","2","0","2","0","2","0","4","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","3","1","3","2"
"67","BOLSENHEIM","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","BOOFZHEIM","1","0","5","9","8","10","1","0","7","4","8","6","1","0","6","6","11","9","0","2","8","8","8","10","0","1","6","1","9","5","2","0","7","7","9","9","0","2","8","4","9","6","1","1","11","4","14","5","3","1","5","0","10","3","0","2","7","3","10","5","1","0","6","5","7","5","0","1","11","7","11","9"
"69","BOOTZHEIM","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","2","0","2","1","0","0","3","0","3","0","0","0","0","1","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"70","BOURGHEIM","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"71","BOUXWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","BREITENAU","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0"
"73","BREITENBACH","1","0","2","2","3","3","3","1","0","7","6","8","2","2","3","4","7","10","2","1","7","3","9","8","1","0","4","1","6","1","4","2","4","5","9","8","4","1","2","3","6","4","2","0","4","1","6","1","2","0","6","1","9","2","0","0","4","2","7","3","4","1","6","1","11","3","0","1","1","2","5","4"
"74","BREUSCHWICKERSHEIM","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0","3"
