"x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673","ERNOLSHEIM SUR BRUCHE","1","0","1","2","3","2","0","0","1","0","2","1","0","0","1","0","1","0","0","0","0","2","0","2","0","0","2","0","2","1","0","0","1","0","3","2","0","0","2","0","2","0","0","0","3","3","3","3","0","0","1","2","2","2","0","0","0","0","0","2","0","0","2","1","2","1","0","0","1","1","1","1"
"674","ESCHBACH","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","0","0","0","0","0","0","0","0","1","2","1","2","0","0","0","1","0","1","1","0","0","0","1","0"
"675","ESCHENTSWILLER","1","1","0","1","1","2","1","0","0","0","1","0","0","0","1","0","3","0","1","0","1","0","2","0","0","0","1","0","1","0","1","1","0","0","1","2","2","0","1","2","3","2","0","0","1","1","1","1","0","0","1","0","1","0","0","0","1","0","2","0","0","0","1","0","1","0","1","0","3","0","4","0"
"676","ESCHENTZWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","2","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"677","ETEIMBES","0","1","9","5","11","11","1","1","10","5","13","7","0","3","11","7","12","11","0","2","12","2","16","8","1","0","11","5","14","6","1","0","9","3","12","6","0","4","12","9","18","17","2","1","8","5","10","10","2","0","11","4","17","8","2","0","8","7","15","9","0","1","6","4","10","8","1","0","10","6","12","9"
"678","FALKWILLER","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"679","FELDBACH","0","0","0","5","0","5","0","0","1","0","2","0","0","0","1","1","3","1","0","1","2","0","2","1","0","0","1","0","1","0","0","0","0","0","1","1","0","1","3","1","3","2","0","0","2","0","2","1","0","0","1","1","1","1","0","0","1","1","1","1","2","0","1","1","3","1","1","1","0","2","1","3"
"680","FELLERING","0","1","2","3","2","4","0","1","1","0","1","1","0","0","1","1","1","1","0","1","1","2","1","3","1","0","1","1","2","1","2","1","1","1","3","3","1","2","0","2","2","4","0","0","0","1","0","1","1","0","0","0","2","0","0","1","2","2","2","3","1","0","2","1","3","1","1","0","1","0","2","0"
"681","FERRETTE","0","0","1","0","1","0","0","0","1","0","1","2","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","2","0","0","1","2","1","2","0","0","1","0","1","1","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","3","0","3","0","0","3","0","3","1","0","0","2","2","2","3"
"682","FESSENHEIM LE BAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"683","FRANKEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","1","1","1","2","0","0","0","0","0","0","0","0","2","1","2","1","0","0","0","0","0","0","0","0","1","1","1","1"
"684","FRIEDOLSHEIM","0","0","0","2","1","2","0","0","1","0","1","1","1","0","1","0","3","0","0","0","0","0","0","1","1","0","0","0","2","1","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","1","1","2","1","0","0","0","0","0","0"
"685","FROHMUHL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"686","FULLEREN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"687","FURDENHEIM","0","0","3","2","4","5","0","0","1","4","2","5","0","0","1","0","2","2","0","1","3","0","3","2","0","0","1","0","1","0","0","0","5","2","5","5","1","0","3","2","4","2","0","0","3","0","3","0","1","0","1","1","3","2","0","0","1","2","5","4","0","0","4","3","4","3","0","0","1","1","2","4"
"688","GEISHOUSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"689","GEISPITZEN","1","0","1","0","2","0","0","0","1","1","1","2","1","0","0","0","2","2","0","0","0","2","0","2","0","0","0","1","2","1","0","1","3","0","3","1","0","3","3","0","3","3","0","0","0","2","0","2","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1"
"690","GEISPOLSHEIM GARE","0","0","1","0","2","0","0","0","0","0","0","0","0","0","4","3","5","3","1","0","3","0","5","0","1","1","1","3","2","5","0","1","3","3","3","4","1","0","0","3","2","5","0","0","1","2","1","4","0","0","0","2","0","2","0","0","2","1","2","1","0","0","3","0","3","0","0","1","1","2","2","3"
"691","GEISWILLER","0","0","3","1","3","2","0","0","1","1","1","1","0","0","0","2","0","3","1","1","2","0","3","1","0","0","1","0","1","0","0","0","5","2","5","2","1","0","3","0","5","3","0","0","1","1","1","1","0","0","1","0","3","0","1","0","0","1","1","2","0","0","1","1","1","1","1","0","0","2","2","2"
"692","GERTSHEIM","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","2","0","2","0","2","4","1","4","3","0","0","0","1","0","1","0","0","2","2","4","2","0","0","1","2","3","3","0","0","1","0","1","0","0","0","0","2","1","2","0","0","1","2","2","3","0","0","0","3","0","3","0","0","0","1","1","1"
"693","GIMBRETT","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"694","GINGSHEIM","3","2","3","5","6","9","3","2","6","4","10","6","1","1","2","3","4","4","1","0","4","1","8","3","2","1","6","3","9","5","1","2","5","3","7","5","3","2","3","7","7","10","0","1","3","2","5","4","3","1","2","0","7","3","0","0","6","4","9","4","0","0","3","2","3","3","1","3","4","2","6","7"
"695","GOLDBACH ALTENBACH","1","0","0","1","1","1","1","0","2","3","3","3","1","0","0","2","1","2","1","0","2","0","3","0","0","0","1","2","1","3","1","0","1","0","2","0","1","0","4","2","5","2","1","0","1","1","2","1","0","0","5","3","6","3","0","1","1","2","1","3","1","0","1","0","2","0","0","0","1","2","1","2"
"696","GOMMERSDORF","2","0","0","1","2","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","2","2","2","2","0","0","3","0","3","0","0","0","1","1","2","1","1","0","2","1","3","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","2","0","2","0","0","1","0","2","0"
"697","GOTTESHEIM","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"698","GOUGENHEIM","0","0","6","2","6","2","0","0","2","1","2","1","0","0","2","1","2","1","1","0","1","0","2","0","3","0","0","0","4","0","1","0","4","0","5","0","0","0","2","1","2","1","0","0","2","0","2","0","0","0","2","1","2","1","0","0","2","1","3","1","2","0","3","1","5","3","0","0","0","1","0","2"
"699","GRASSENDORF","2","0","2","3","4","3","2","0","4","2","7","2","2","0","1","2","4","4","4","0","2","2","7","3","3","0","4","4","7","4","4","0","4","6","9","7","2","2","3","2","5","5","2","0","6","4","9","5","1","1","1","2","4","4","1","0","0","3","2","3","0","0","2","3","2","3","1","1","2","2","5","3"
"700","GRAUFTHAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"701","GRENDELBRUCH","0","0","0","1","0","1","0","0","0","1","0","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","1","3","1","0","0","1","0","2","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1"
"702","GUNGWILLER","0","0","8","3","8","4","1","2","1","2","3","6","5","1","10","4","17","6","1","0","7","2","10","4","2","2","4","6","8","9","0","0","15","7","17","8","3","2","10","11","14","13","0","1","7","13","8","17","0","0","9","5","10","7","0","0","5","6","5","8","1","1","11","7","13","9","2","2","7","7","11","9"
"703","GUNSTETT","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0"
"704","HARTHOUSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","3","2","4","0","0","1","3","1","3","0","0","4","1","4","1","0","0","4","0","4","1","0","0","0","3","0","3"
"705","HATTMATT","1","0","4","0","7","0","0","0","4","2","6","3","0","0","1","1","1","3","1","0","3","1","5","1","1","0","3","0","4","0","0","0","4","1","5","1","0","1","3","3","3","5","0","0","5","3","6","3","1","0","3","3","6","4","0","0","2","3","3","5","0","2","0","3","0","5","0","0","2","2","3","3"
"706","HAUSGAUEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"707","HEGENEY","0","1","0","1","0","3","0","0","0","1","0","1","0","0","2","0","3","0","0","0","3","0","4","0","0","1","0","0","0","1","0","0","2","0","2","1","0","1","0","2","0","3","0","0","1","0","1","1","0","0","1","1","1","1","0","0","2","1","3","1","1","0","0","0","3","0","0","0","1","0","1","1"
"708","HEILIGENBERG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"709","HEIMBRUNN","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","0","0","0","1","3","2","3","0","0","1","0","2","0","0","0","1","1","1","3","0","0","0","0","2","0"
"710","HEIMERSDORF","0","1","2","0","2","1","0","0","1","0","1","0","0","1","2","2","2","3","0","0","1","0","2","1","0","1","2","1","2","2","0","0","0","0","0","0","1","0","3","1","4","1","0","0","1","0","1","0","0","1","0","1","0","2","0","0","0","1","0","1","0","0","1","1","1","2","0","0","0","3","1","3"
"711","HELFRANTTZKIRCH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"712","HELFRANTZKIRCH","1","1","0","2","1","3","0","0","1","0","1","0","1","1","2","2","3","4","1","0","1","0","2","1","2","0","2","4","5","6","0","1","3","1","3","3","2","0","3","5","6","6","0","0","0","0","0","1","0","0","2","1","2","1","0","0","2","2","5","4","2","0","1","2","3","3","1","1","0","1","1","3"
"713","HENFLINGEN","1","0","4","6","7","8","0","0","2","2","5","5","0","1","3","4","5","7","0","0","6","3","7","5","1","2","5","2","6","5","1","1","5","4","8","5","3","1","14","8","18","10","1","0","1","6","6","6","0","0","5","6","7","7","2","0","8","7","12","9","0","1","10","4","12","7","0","2","2","7","6","11"
"714","HERMERSWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"715","HINDISHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"716","HINDLINGEN","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"717","HINSBOURG","3","3","13","13","18","19","1","0","11","12","17","14","0","1","13","11","16","17","3","1","12","16","16","24","0","2","21","15","24","21","2","2","20","8","25","13","3","0","15","21","22","23","0","0","14","19","16","22","1","0","26","9","28","15","3","1","14","19","26","21","2","7","12","15","17","25","1","4","11","7","14","12"
"718","HIRTZBACH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"719","HOCHASTATT","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"720","HOCHSTETT","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"721","HOELSCHLOCH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"722","HOHATZENHEIM","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"723","HOHENGOEFT","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0","1","0","1","0","0","4","4","4","4","0","1","1","1","1","2","0","0","1","1","3","1","0","1","0","0","2","2","0","0","1","1","1","2","0","0","1","0","1","1","0","0","1","1","1","1"
"724","HOLTZHEIM","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0"
"725","HUNSPACH","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","1","1","2","2","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0"
"726","HURTIGHEIM","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"727","HUSSEREN WESSERLING","0","0","1","1","2","1","0","0","5","2","5","3","0","0","1","1","1","2","1","0","4","2","5","3","0","2","0","1","0","3","1","0","9","5","10","6","2","1","1","4","3","6","0","0","3","3","3","5","0","0","2","2","2","2","1","0","3","0","4","0","0","0","3","1","3","1","0","0","0","4","0","5"
"728","HUTTENDORF","1","0","1","1","3","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","4","0","4","0","2","0","2","0","4","0","0","0","1","1","2","1","0","0","1","2","1","2","0","0","4","0","5","0","0","0","2","3","2","4","0","0","1","0","1","0","0","0","3","1","3","2","0","0","3","0","4","2"
"729","ICHTRATZHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0"
"730","ICHTRAZHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"731","ILLFURTH,","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"732","IMBSHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"733","INGOLSHEIM","0","0","3","3","3","3","1","0","5","5","6","5","0","0","4","5","4","5","1","1","4","5","6","7","1","1","5","4","6","5","1","1","8","1","9","2","2","1","4","3","7","5","1","0","4","3","5","5","1","0","6","3","7","3","1","0","5","4","6","4","0","1","2","4","2","5","0","2","4","4","4","7"
"734","INNENHEIM","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"735","IRMSTETT","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","2","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"736","JETTERSWILLER","0","0","3","1","3","1","2","0","1","1","5","1","1","0","4","2","5","2","1","0","4","2","5","3","0","1","4","1","4","2","0","0","7","3","7","3","2","1","2","5","4","6","0","0","2","4","2","4","0","0","0","0","2","0","0","0","2","1","4","1","0","0","1","3","1","4","0","0","5","2","5","2"
"737","JETTINGEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0"
"738","KAIDENBOURG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"739","KAPPELEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"740","KAUFFENHEIM","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","6","0","0","0","0","1","0"
"741","KEFFENACH","0","0","1","1","1","1","0","0","0","1","0","1","0","0","3","1","3","1","0","0","1","0","1","0","0","0","1","1","1","1","0","2","2","0","2","2","0","0","0","1","0","1","0","0","1","1","1","1","0","0","2","3","2","3","0","0","0","1","0","1","1","0","3","0","4","0","0","1","2","2","2","4"
"742","KEMBS LOECHLÉ","0","0","1","0","1","1","0","0","1","1","2","1","0","0","1","2","1","2","0","0","2","1","2","1","0","0","0","1","1","1","0","0","3","0","3","0","0","1","3","0","3","1","1","0","2","2","3","2","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","2","0"
"743","KIENHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","2","1","0","0","1","2","1","2","0","0","2","0","3","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1"
"744","KINGERHEIM","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"745","KINGERHSEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"746","KINGERSEHIM","2","0","2","2","6","3","0","1","2","2","2","3","1","1","10","4","11","6","1","1","1","2","2","3","0","2","6","2","6","4","0","1","5","5","6","8","1","0","5","2","8","2","1","1","6","1","8","2","0","0","6","2","6","3","0","0","0","2","0","2","1","0","3","3","4","5","1","1","0","0","1","1"
"747","KINGERSHIEM","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","2","0","2","1","0","0","1","1","1","0","0","1","0","1","0"
"748","KIRRWILLER","0","1","3","4","3","9","2","1","10","10","15","16","4","0","5","1","11","5","1","0","4","8","7","14","1","1","9","6","10","8","3","1","12","5","18","8","1","2","9","16","11","18","0","0","11","5","13","7","0","0","3","3","5","4","1","0","7","6","11","8","1","0","15","5","18","9","1","1","3","1","6","5"
"749","KLEINFRANKENHEIM","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","0","2","0","0","0","0","3","1","4","0","1","0","1","0","4","0","0","1","0","1","0","0","0","3","1","4","1","1","0","1","1","2","1","0","0","2","1","2","1","0","0","0","3","0","4","0","0","1","0","1","1","0","0","0","3","0","4"
"750","KLEINFRENKENHEIM","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","2","0","1","0","1","1","2","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1"
"751","KNOERINGUE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1"
"752","KNOERSHEIM","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
"753","KOETZINGUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"754","KRAFFT","0","0","1","1","1","1","0","1","0","0","0","2","1","1","0","2","1","3","0","0","2","0","3","0","0","0","2","4","3","5","0","0","0","1","0","1","0","0","2","1","3","2","0","0","1","0","1","1","0","0","1","4","1","4","0","0","4","1","4","2","0","0","1","0","2","0","0","0","3","2","3","2"
"755","KRAUTERGERSHEIÙ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"756","KUHLENDORF","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","1","0","1","0","0","0","1","3","1","3","0","1","1","0","2","1","0","0","0","0","0","0"
"757","KURTZENHOUSE","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","1","0","0","0","1"
"758","LALAYE","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","2","1","2","1","1","0","1","0","2","0","0","0","0","0","0","0"
"759","LAMPERTHEIM","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","2","0","0","1","1","1","1","0","0","0","1","0","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","3","1","3","1","0","0","2","3","2","3","0","0","0","1","1","1","0","0","0","0","0","0"
"760","LANDERSHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","1","2","0","0","2","0","2","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0"
